"","run","b","sim","BM_AICc","OU_AICc","BS_AICc","pr","BM_wt","OU_wt","BS_wt","fc","lambda"
"36",2,100,4,232.584765078669,234.169103472218,231.245861177141,0.2,0.293597118416631,0.132958797269708,0.573444084313661,2,0.998137589256924
"37",2,100,4,230.189777618018,231.727264656318,231.24586100117,0.3,0.487008092391472,0.225774614484518,0.28721729312401,2,0.998084379566815
"38",2,100,4,228.647434757936,230.06655751494,231.24586179638,0.4,0.566698706863155,0.278736363890303,0.154564929246542,2,0.998041547351173
"39",2,100,4,227.998307337003,229.207764614305,231.245860802212,0.5,0.573599949289667,0.313313273006724,0.113086777703609,2,0.998009376806916
"40",2,100,4,228.259907909699,229.142066051427,231.245860991525,0.6,0.535319108283405,0.344393177416067,0.120287714300528,2,0.997990501508996
"41",2,100,4,229.425147190742,229.833274761964,231.245860645144,0.7,0.450899112050136,0.367667806415156,0.181433081534708,2,0.997984726647719
"42",2,100,4,231.462963356346,231.223587246137,231.245860690923,0.8,0.308469906677692,0.347690371430819,0.343839721891488,2,0.997992494069558
"43",2,100,4,234.32100904433,233.241445750251,231.245860879495,0.9,0.13570509134758,0.232820025493396,0.631474883159023,2,0.998014362098742
"44",2,100,4,237.929918285481,235.809579918913,231.245860825109,1,0.0310913436264657,0.0897563362480477,0.879152320125487,2,0.998050053232148
"45",2,100,5,242.605643641426,244.479099739119,237.459804232817,0,0.0689848492997057,0.0270357173410641,0.90397943335923,2,1
"46",2,100,5,239.767321704602,241.767195484302,237.459804066031,0.1,0.220361927635499,0.0810717390821786,0.698566333282323,2,1
"47",2,100,5,237.394165704307,239.469183693306,237.459805027653,0.2,0.430654078465916,0.152596345629185,0.416749575904898,2,1
"48",2,100,5,235.521792246652,237.633994665967,237.459804183626,0.3,0.578948533459231,0.201363629439126,0.219687837101643,2,1
"49",2,100,5,234.179742709503,236.304766927603,237.459805331248,0.4,0.649536004771256,0.224470918568677,0.125993076660067,2,1
"50",2,100,5,233.38995525465,235.516210509986,237.459804247112,0.5,0.677477276322275,0.23398298149051,0.0885397421872149,2,1
"51",2,100,5,233.165717786034,235.291971794967,237.459804150452,0.6,0.683899463467874,0.23620118463,0.0798993519021262,2,1
"52",2,100,5,233.510837442927,235.637079664693,237.459804339813,0.7,0.673759477691644,0.23270046726393,0.0935400550444254,2,1
"53",2,100,5,234.419440747933,236.545684191958,237.459804156001,0.8,0.639366522725346,0.220821825284662,0.139811651989992,2,1
"54",2,100,5,235.876352519848,238.001586232938,237.459804121205,0.9,0.555984097133543,0.192120510698347,0.25189539216811,2,1
"55",2,100,5,237.857877518158,239.971475132666,237.459804078181,1,0.389439426053463,0.135356160285469,0.475204413661068,2,1
"56",2,100,6,204.713575395431,206.337095132752,199.58932617998,0,0.0694087474656115,0.0308227494266077,0.899768503107781,2,1
"57",2,100,6,203.060485008929,204.652052232898,199.589325911048,0.1,0.140381580148141,0.0633440307288488,0.79627438912301,2,1
"58",2,100,6,201.566621065929,203.126052064017,199.589342203846,0.2,0.241189830016223,0.110594327661693,0.648215842322085,2,1
"59",2,100,6,200.239617978402,201.766937876564,199.589327074287,0.3,0.350853816164111,0.16348311444995,0.485663069385938,2,1
"60",2,100,6,199.086483609163,200.581940631015,199.589326192514,0.4,0.444220278256712,0.210311980705209,0.345467741038079,2,1
"61",2,100,6,198.113488302302,199.57756124705,199.589326153618,0.5,0.51045502411353,0.245492417230036,0.244052558656433,2,1
"62",2,100,6,197.326056243742,198.759458255678,199.589325919975,0.6,0.55222188981,0.269683468891061,0.17809464129894,2,1
"63",2,100,6,196.728668257811,198.132347831079,199.589325913641,0.7,0.576401175668101,0.285706230592634,0.137892593739265,2,1
"64",2,100,6,196.324981055197,197.699914448337,199.589326000613,0.8,0.588805843944899,0.296080031945802,0.115114124109298,2,1
"65",2,100,6,196.11675184514,197.464740032776,199.589326532129,0.9,0.593175363001483,0.302323000292295,0.104501636706221,2,1
"66",2,100,6,196.105812391781,197.42825684859,199.589325945546,1,0.591214902066843,0.305196962656865,0.103588135276292,2,1
"67",2,100,7,171.938016833708,173.928392281905,167.538245911703,0,0.0962127404914998,0.0355654287087832,0.868221830799717,2,1
"68",2,100,7,167.542016732853,169.631653841236,167.53824592439,0.1,0.424873303256092,0.149451579930049,0.425675116813859,2,1
"69",2,100,7,164.62008066731,166.742149458441,167.538245897032,0.2,0.633493947885229,0.219250749713737,0.147255302401034,2,1
"70",2,100,7,163.308739686389,165.435007146374,167.538245939329,0.3,0.682112008481599,0.235582259492879,0.082305732025522,2,1
"71",2,100,7,163.672305573936,165.798579801333,167.538245953767,0.4,0.671101140829163,0.231778631921881,0.0971202272489564,2,1
"72",2,100,7,165.692754468526,167.815987746728,167.538246053691,0.5,0.573617344373735,0.198412041782717,0.227970613843548,2,1
"73",2,100,7,169.272608667989,171.368638813324,167.538245913188,0.6,0.268037189761518,0.0939826946621375,0.637980115576345,2,1
"74",2,100,7,174.249893168414,176.259457959672,167.538245909666,0.7,0.0332941222164502,0.0121897870702094,0.954516090713341,2,1
"75",2,100,7,180.420632071448,182.247551019891,167.538245914887,0.8,0.00159094881911271,0.000638183835076967,0.99777086734581,2,1
"76",2,100,7,187.562904605218,189.08226547592,167.538245940742,0.9,4.48406639739724e-05,2.09771755982159e-05,0.999934182160428,2,1
"77",2,100,7,195.457570192833,196.528933627943,167.538245931696,1,8.6575532493123e-07,5.06700762018592e-07,0.999998627543913,2,1
"78",2,100,8,181.888995441037,184.015307881514,185.194574024869,0,0.650669304601422,0.224717781904344,0.124612913494234,2,1
"79",2,100,8,182.163943198937,184.290255239524,185.194578045585,0.1,0.638935773831971,0.220665486396282,0.140398739771747,2,1
"80",2,100,8,182.471777525249,184.598089121609,185.194573270585,0.2,0.624349725087511,0.215628036512549,0.16002223839994,2,1
"81",2,100,8,182.812193257199,184.938507306287,185.194578186787,0.3,0.606346333843402,0.209410053081445,0.184243613075153,2,1
"82",2,100,8,183.184855482417,185.311169089194,185.19457377819,0.4,0.584296435494892,0.201794861786007,0.213908702719102,2,1
"83",2,100,8,183.589400610641,185.715713740216,185.194572667234,0.5,0.557558922940647,0.192560737671859,0.249880339387494,2,1
"84",2,100,8,184.025437407897,186.151750140051,185.194573247366,0.6,0.525565994556634,0.181511570442631,0.292922435000735,2,1
"85",2,100,8,184.492548561247,186.618859431319,185.194573443283,0.7,0.487962142262848,0.168524710767248,0.343513146969904,2,1
"86",2,100,8,184.99029192359,187.116602775233,185.194574147854,0.8,0.444787138123662,0.153613606474342,0.401599255401996,2,1
"87",2,100,8,185.518200318625,187.644512636232,185.194572385002,0.9,0.396667111351307,0.136994565846394,0.466338322802299,2,1
"88",2,100,8,186.075786834556,188.202080936355,185.19457797792,1,0.344944961163114,0.119132678874659,0.535922359962227,2,1
"89",2,100,9,205.013655535743,206.632024177995,202.205927499629,0,0.181286822865562,0.0807127142645088,0.738000462869929,2,1
"90",2,100,9,204.24724441705,205.662888705954,202.205927125502,0.1,0.234316163965517,0.115451345140111,0.650232490894372,2,1
"91",2,100,9,203.545666413888,204.742138806775,202.205927708063,0.2,0.285407472022295,0.156911458730417,0.557681069247288,2,1
"92",2,100,9,202.910335062921,203.8792948905,202.205927105536,0.3,0.329140512403101,0.202756314174247,0.468103173422652,2,1
"93",2,100,9,202.342550470624,203.083705598918,202.205927458785,0.4,0.362183115346185,0.25002786290732,0.387789021746495,2,1
"94",2,100,9,201.843491130103,202.364304616427,202.20592765191,0.5,0.383878443780973,0.295869715371861,0.320251840847166,2,1
"95",2,100,9,201.414205870528,201.729444680804,202.205927093826,0.6,0.395683046300323,0.337982492736582,0.266334460963095,2,1
"96",2,100,9,201.055617463792,201.186682313531,202.205927158114,0.7,0.400130215103945,0.3747494266478,0.225120358248255,2,1
"97",2,100,9,200.768462598589,200.742638496098,202.205927164203,0.8,0.399941531238026,0.405139080081507,0.194919388680467,2,1
"98",2,100,9,200.553393834167,200.402858162886,202.205927113099,0.9,0.397479480309183,0.428551598149085,0.173968921541733,2,1
"99",2,100,9,200.410879155801,200.171698465791,202.205927719374,1,0.394537623430427,0.444657734669754,0.160804641899819,2,1
"100",2,100,10,250.394819607385,249.160557127326,232.924971594272,0,0.000160794572369489,0.000298049280096205,0.999541156147534,2,1
"101",2,100,10,244.196984684992,243.689923761877,232.924971896436,0.1,0.00353820137905921,0.00455920822951927,0.991902590391422,2,1
"102",2,100,10,238.913183217471,238.971915550996,232.924971769517,0.2,0.0455818508401711,0.0442627498714879,0.910155399288341,2,1
"103",2,100,10,234.715380996964,235.183711894354,232.924971659633,0.3,0.235900930850107,0.186652105106982,0.577446964042912,2,1
"104",2,100,10,231.756217940572,232.488991631047,232.924971803585,0.4,0.444308651887854,0.308010119388322,0.247681228723823,2,1
"105",2,100,10,230.152576205247,231.016996567584,232.924971560774,0.5,0.526566016015118,0.341779751823343,0.131654232161539,2,1
"106",2,100,10,229.971213567239,230.84272329153,232.924971909429,0.6,0.533297645848461,0.344924254634038,0.1217780995175,2,1
"107",2,100,10,231.219827028677,231.974155344692,232.924972216917,0.7,0.473457888177478,0.324699069486393,0.201843042336129,2,1
"108",2,100,10,233.846020892845,234.350944728688,232.924972344073,0.8,0.297460535693244,0.231092865556893,0.471446598749862,2,1
"109",2,100,10,237.744367497375,237.855014882649,232.924971574092,0.9,0.0764714389763539,0.0723556564495085,0.851172904574138,2,1
"110",2,100,10,242.769723882761,242.329335459946,232.924971676881,1,0.00716461447467566,0.00892939340219456,0.98390599212313,2,1
"111",2,100,11,303.906253266179,285.082039373291,183.783798275811,0,8.23645485793072e-27,1.00778161775941e-22,1,2,0.928200502632487
"112",2,100,11,270.874518997507,260.519845786975,183.783798656364,0.1,1.22599970429082e-19,2.17259654247441e-17,1,2,0.950976899490702
"113",2,100,11,236.128838002412,233.252652346399,183.783798591833,0.2,4.29951149579332e-12,1.81123538503918e-11,0.999999999977588,2,0.972182776457095
"114",2,100,11,203.708001691898,205.311094801919,183.783797985508,0.3,4.71503012800174e-05,2.11532560472612e-05,0.999931696442673,2,0.991663210765303
"115",2,100,11,182.473780642217,184.599696043013,183.783797486587,0.4,0.536230321358395,0.185231440403873,0.278538238237731,2,0.999844515491679
"116",2,100,11,182.512258468392,184.638187750561,183.783797631498,0.5,0.533345271493837,0.184233571382173,0.28242115712399,2,0.99981382397103
"117",2,100,11,203.801325742318,205.171404422147,183.783798810875,0.6,4.50007612205251e-05,2.26835516681673e-05,0.999932315687111,2,0.989729580204107
"118",2,100,11,236.241298151878,232.518980378014,183.783798053683,0.7,4.06442006262224e-12,2.61390392559857e-11,0.999999999969797,2,0.968365388484881
"119",2,100,11,270.985751253814,259.171274848632,183.783797919131,0.8,1.15967535497268e-19,4.26400183047106e-17,1,2,0.943548439132141
"120",2,100,11,304.00903966267,283.161774903832,183.783797418129,0.9,7.8238470879582e-27,2.63236663564032e-22,1,2,0.915025635470915
"121",2,100,11,334.132498296525,304.209403083161,183.783797452878,1,2.25006172006471e-33,7.0780234549344e-27,1,2,0.882829481917412
"122",2,100,12,193.126425154682,195.252754891127,192.937988795488,0,0.409138432226814,0.14130048126375,0.449561086509436,2,0.999709287353392
"123",2,100,12,191.285253733744,193.411628231297,192.937988531382,0.1,0.560855802635218,0.193693417603363,0.245450779761419,2,0.999453562837677
"124",2,100,12,189.914209769656,192.040588208342,192.937987993143,0.2,0.638632531383722,0.220553435051429,0.140814033564849,2,0.999251598170361
"125",2,100,12,189.033246872726,191.159627567212,192.937987944135,0.3,0.672364072486681,0.232202450150946,0.0954334773623734,2,0.999114408066638
"126",2,100,12,188.655525938746,190.781907974079,192.937987943055,0.4,0.683591422075593,0.236079682401369,0.0803288955230381,2,0.999050138789589
"127",2,100,12,188.786772754009,190.913155165171,192.937988922766,0.5,0.679887272918123,0.234800402863848,0.0853123242180289,2,0.999063382358936
"128",2,100,12,189.424992090072,191.551373227925,192.937987945737,0.6,0.658761261726178,0.227504638315302,0.11373409995852,2,0.999153638624187
"129",2,100,12,190.560567773243,192.686946499068,192.937988369531,0.7,0.606072922512443,0.209308857898324,0.184618219589233,2,0.999315115011958
"130",2,100,12,192.176738347496,194.303113246507,192.937988031941,0.8,0.492905246287193,0.170226432704023,0.336868321008784,2,0.999537432496007
"131",2,100,12,194.25039989326,196.376444930778,192.937988272429,0.9,0.305541717389515,0.105537232462869,0.588921050147616,2,0.999810808914516
"132",2,100,12,196.753157382837,198.879516362423,192.937987948463,1,0.123729393967149,0.042730689442911,0.83353991658994,2,1
"133",2,100,13,221.789342199309,223.915636565285,202.305385278427,0,5.8759511704953e-05,2.02936059437766e-05,0.999920946882351,2,0.99941042167238
"134",2,100,13,214.495053517847,216.621349499895,202.305385290553,0.1,0.00224766668148871,0.000776269641228091,0.996976063677283,2,0.998490425071594
"135",2,100,13,208.261235434943,210.387530399325,202.305385443001,0.2,0.0476363469578711,0.0164520251525341,0.935911627889595,2,0.997458722485833
"136",2,100,13,203.330851399474,205.457129981762,202.305385523552,0.3,0.331650929281129,0.114542244989019,0.553806825729852,2,0.996446925515301
"137",2,100,13,199.922835897928,202.049128322488,202.305385215119,0.4,0.606354142988356,0.209415014315426,0.184230842696218,2,0.995635102444845
"138",2,100,13,198.203795254319,200.330086844381,202.305385076317,0.5,0.67842593405825,0.234306366362354,0.0872676995793961,2,0.995202736429741
"139",2,100,13,198.262838937448,200.389130250338,202.305385343688,0.6,0.676656660085504,0.233695348765943,0.0896479911485536,2,0.995249812867895
"140",2,100,13,200.096848030904,202.223139530995,202.305385421925,0.7,0.596366631689863,0.205965747714126,0.197667620596011,2,0.995748808102037
"141",2,100,13,203.611005469057,205.737290371472,202.305385487781,0.8,0.306156827656052,0.105737015776981,0.588106156566967,2,0.996616746329513
"142",2,100,13,208.634408646862,210.760607343912,202.305385266675,0.9,0.0399639316028749,0.013802889977199,0.946233178419926,2,0.997631161881187
"143",2,100,13,214.945679549177,217.071931323477,202.305385215088,1,0.00179533170123726,0.000620061823553299,0.997584606475209,2,0.998638558015978
"144",2,100,14,186.56925378653,187.50209137628,182.251909931567,0,0.0972112621754395,0.0609752336432332,0.841813504181327,2,0.998871486859804
"145",2,100,14,184.229253901267,185.366968042475,182.251910513953,0.1,0.235082033520714,0.133096903602517,0.631821062876769,2,0.99880408378769
"146",2,100,14,182.261083429904,183.558803727998,182.251909868375,0.2,0.395688814222738,0.206803264980559,0.397507920796704,2,0.998749060852351
"147",2,100,14,180.688094330471,182.105513907139,182.25190993894,0.3,0.512870161807646,0.252475175469836,0.234654662722518,2,0.99870686199744
"148",2,100,14,179.529740494774,181.030915058958,182.251911838234,0.4,0.578545842188324,0.273125256395442,0.148328901416233,2,0.998675842376184
"149",2,100,14,178.800810057016,180.353488596786,182.251910525616,0.5,0.610440151919431,0.28085569250189,0.108704155578679,2,0.998656131316789
"150",2,100,14,178.510815155699,180.085365450637,182.251910509534,0.6,0.62145675778387,0.282814493832077,0.0957287483840528,2,0.99864743710713
"151",2,100,14,178.663585077669,180.231617886779,182.251910108085,0.7,0.616205515045135,0.281340064519101,0.102454420435764,2,0.998649222829499
"152",2,100,14,179.257099339916,180.789970356292,182.251911816242,0.8,0.592285103652754,0.275214998455206,0.13249989789204,2,0.998661856140929
"153",2,100,14,180.283575782959,181.750944939656,182.251910331715,0.9,0.539407215443329,0.258989160393923,0.201603624162749,2,0.998686073925272
"154",2,100,14,181.729806380336,183.098432930715,182.251909851682,1,0.439622742436378,0.221761766189502,0.33861549137412,2,0.998721742775925
"155",2,100,15,197.548922818704,199.584378763551,201.732740782176,0,0.673461263235005,0.243399105654393,0.0831396311106022,2,0.997943325744567
"156",2,100,15,197.551118597392,199.58643012671,201.732739831939,0.1,0.673387901849038,0.243390165763026,0.0832219323879365,2,0.997942849888221
"157",2,100,15,197.553405029343,199.588570254623,201.732739663509,0.2,0.673311812768704,0.243380467152195,0.0833077200791008,2,0.997943233923268
"158",2,100,15,197.555782162733,199.590799158988,201.73273946805,0.3,0.673232962045665,0.243370001743855,0.0833970362104796,2,0.997943301951745
"159",2,100,15,197.558249938841,199.593116494866,201.732739481552,0.4,0.673151327259393,0.243358796007158,0.083489876733449,2,0.997943503685833
