"fc","b","sim","BM_AICc_exp","OU_AICc_exp","WN_exp","Static_exp","BM_wt","OU_wt","WN_wt"
1,100,1141,-168.122875369153,-166.499459691149,-2.21859071108904,FALSE,0.692473314988919,0.307526685011081,6.52747724635924e-37
1,100,1142,-191.100373782298,-188.974080714855,-55.4973273106485,FALSE,0.743291392661715,0.256708607338285,2.6627579974208e-30
1,100,1143,-138.88087270261,-136.777708806365,15.5179540722922,FALSE,0.741078560916772,0.258921439083228,2.20082245827258e-34
1,100,1144,-152.596856481136,-151.084820590437,-48.3332048784157,FALSE,0.680488562976718,0.319511437023282,1.55688506778698e-23
1,100,1145,-158.748958605939,-156.622669877228,-5.14266719104734,FALSE,0.74329097872629,0.256709021273711,3.28077531254756e-34
1,100,1146,-75.0438127314619,-78.2329295733575,-9.03125289893612,FALSE,0.168743525255224,0.831256474744775,7.81235342134206e-16
1,100,1147,-203.635395626486,-201.509106805333,-25.1349096524583,FALSE,0.743290987545701,0.256709012454299,1.28905316403339e-39
1,100,1148,-161.858252927998,-159.731964301274,2.94268407669139,FALSE,0.74329096899622,0.25670903100378,1.21643828243539e-36
1,100,1149,-188.523540265742,-186.397251188347,-24.9353146485163,FALSE,0.743291011992432,0.256708988007569,2.23062741923487e-36
1,100,1150,-145.431785065801,-144.691026179323,-44.1995703326715,FALSE,0.591550662113837,0.408449337886163,6.16163289824465e-23
1,100,1151,-135.904241025651,-133.793144442272,-4.55582450921017,FALSE,0.741838899359605,0.258161100640395,2.23030034989223e-29
1,100,1152,-143.621039688197,-141.494750346829,9.39703555464226,FALSE,0.743291037176614,0.256708962823386,4.40256768242274e-34
1,100,1153,-164.906139184369,-164.323746069376,-61.8211671665278,FALSE,0.572289044749361,0.427710955250639,2.36046831449295e-23
1,100,1154,-175.223801053294,-173.09750959373,-7.90169735830446,FALSE,0.743291239262496,0.256708760737504,3.44846519033222e-37
1,100,1155,-171.636808071014,-169.659702588651,-31.4473020187689,FALSE,0.728801966875898,0.271198033124102,2.63539116960852e-31
1,100,1156,-94.5661149577364,-98.2917686178587,-22.8170774634531,FALSE,0.134373902008797,0.865626097991203,3.53353498669042e-17
1,100,1157,-156.923591182853,-154.797300882898,1.2358814446723,FALSE,0.743291128630403,0.256708871369597,3.36717616071124e-35
1,100,1158,-131.193142931177,-129.074261414943,-28.4704269559003,FALSE,0.742583658948152,0.257416341051848,3.67105618156754e-23
1,100,1159,-149.97543944096,-147.849150519146,-6.62589227764366,FALSE,0.743290997149276,0.256709002850724,5.53605268365043e-32
